day,hour,mean_global_load,variance_global_load,std_global_load,min_global_load,max_global_load,n_samples
1,00:00,0.742774566916,0.00853687659739,0.0923952195592,0.552839102741,0.943904420289,32
1,01:00,0.750735246224,0.0078907027017,0.0888296273869,0.52842166174,0.933037384672,32
1,02:00,0.75778629347,0.00684189439048,0.0827157445138,0.545947093395,0.925675431828,32
1,03:00,0.772757575849,0.00537255316582,0.0732977023229,0.620959999634,0.922982846043,32
1,04:00,0.792420880495,0.00665392823525,0.0815716141513,0.618394326721,0.929153072665,32
1,05:00,0.809470003028,0.00577581142214,0.0759987593461,0.631571912669,0.931458881893,32
1,06:00,0.825733530259,0.00508014154548,0.0712751116834,0.654819050876,0.943124163714,32
1,07:00,0.838418017949,0.00476908829714,0.069058585977,0.644205188186,0.947810846683,32
1,08:00,0.844612325346,0.00406179879335,0.063732242965,0.652983247685,0.949180295566,32
1,09:00,0.854770019459,0.00393895173468,0.0627610686229,0.633261617664,0.950133380945,32
1,10:00,0.859271194607,0.00349391964018,0.0591093870733,0.705074190959,0.947695117372,32
1,11:00,0.852730705886,0.00386321960692,0.0621548035708,0.676116191044,0.945750962763,32
1,12:00,0.845439888639,0.00364383155207,0.0603641578428,0.679473181211,0.925115389507,32
1,13:00,0.829875780836,0.00467582998904,0.0683800408675,0.621552635101,0.937098253828,32
1,14:00,0.812052216002,0.00655030177777,0.080933934649,0.557772666719,0.920229146924,32
1,15:00,0.78993445816,0.0079478288219,0.089150596307,0.52589875086,0.932614424216,32
1,16:00,0.777027165479,0.00933259761328,0.0966053705199,0.557097922392,0.919851074599,32
1,17:00,0.770766995186,0.00992115939206,0.099605016902,0.502864161158,0.912636629386,32
1,18:00,0.755213851652,0.0094691171605,0.097309388861,0.504439124895,0.901616044818,32
1,19:00,0.75518577281,0.0121482179645,0.110218954652,0.482073769626,0.942444113401,32
1,20:00,0.76335870421,0.0136518001088,0.116840917956,0.438438612295,0.945492891972,32
1,21:00,0.759985143679,0.0132886091541,0.115276229788,0.413031567123,0.936440040345,32
1,22:00,0.753086561819,0.0111529027818,0.105607304586,0.444596085452,0.961396895877,32
1,23:00,0.761125617845,0.00954941604283,0.097721113598,0.554081078005,0.969914512845,32
2,00:00,0.769252369415,0.00843842763309,0.0918609146105,0.542151142934,0.957765974469,32
2,01:00,0.768670402234,0.00834388935708,0.0913448923426,0.529986481527,0.963103621009,32
2,02:00,0.766212057504,0.00637445271313,0.0798401697964,0.576216132795,0.944583488984,32
2,03:00,0.772020219899,0.00513134049785,0.071633375586,0.588735969917,0.923478831383,32
2,04:00,0.789032868758,0.0061275945731,0.0782789535769,0.581427851287,0.9557460208,32
2,05:00,0.814078696193,0.00557321596952,0.0746539749077,0.596189583329,0.966990417132,32
2,06:00,0.825863563735,0.00486532316769,0.0697518685605,0.623539713514,0.975712008929,32
2,07:00,0.829311135335,0.00369335851342,0.0607730080992,0.666363099508,0.917964049869,32
2,08:00,0.83921816801,0.00383107126916,0.0618956482248,0.721073384444,0.949009991451,32
2,09:00,0.8437037046,0.00385115498611,0.0620576746753,0.700027442233,0.960665443346,32
2,10:00,0.859036487666,0.00374529541596,0.0611988187465,0.700100996924,0.949615208712,32
2,11:00,0.858050066317,0.0048748434637,0.0698200792301,0.681483869372,0.963932361171,32
2,12:00,0.850988350063,0.00607587239514,0.0779478825571,0.608136880352,0.949403784102,32
2,13:00,0.836488453855,0.00597078709101,0.0772708683205,0.59011269319,0.963082128404,32
2,14:00,0.842455973138,0.00548264345041,0.0740448745722,0.667757265504,0.963326120171,32
2,15:00,0.830194238992,0.00577459611234,0.0759907633357,0.607281624109,0.931393480846,32
2,16:00,0.811192989614,0.00725121903312,0.0851540899377,0.549457179393,0.923827199487,32
2,17:00,0.810210059516,0.00885950576514,0.0941249476236,0.533993540054,0.946093105689,32
2,18:00,0.792194334366,0.0110281999823,0.105015236905,0.499420132833,0.987894396265,32
2,19:00,0.781595765783,0.0127068399484,0.112724619974,0.50066776384,0.981062082743,32
2,20:00,0.780847612141,0.0145302121978,0.120541329832,0.498624540939,0.985879315558,32
2,21:00,0.781506998908,0.0156966709911,0.125286355965,0.475663998461,0.987069450632,32
2,22:00,0.779857366051,0.0148095682514,0.121694569523,0.48126244134,0.989706888409,32
2,23:00,0.788570262151,0.0120718081375,0.109871780442,0.555706083255,0.984475583221,32
3,00:00,0.779155090305,0.0116020539085,0.107712830751,0.521726555924,0.985870794419,40
3,01:00,0.769670349906,0.0103135609113,0.10155570349,0.529608350011,0.977588776762,40
3,02:00,0.771267343009,0.00816647255163,0.090368537399,0.573349840498,0.989513500555,40
3,03:00,0.78500537185,0.00735946423296,0.0857873197679,0.609312575044,0.987500211928,40
3,04:00,0.793058298755,0.00746889722842,0.0864227818832,0.62972337644,0.984918454455,40
3,05:00,0.8136161719,0.00654034117896,0.0808723758706,0.667383793691,0.993345788614,40
3,06:00,0.820033264311,0.00602229879281,0.0776034715255,0.656031552928,0.995632273188,40
3,07:00,0.829836012814,0.00508263496446,0.0712926010499,0.651345607885,0.988011770731,40
3,08:00,0.836259468621,0.00516165209866,0.0718446386216,0.66261747143,0.990277225447,40
3,09:00,0.848022676813,0.00507496507222,0.0712387890985,0.662527057549,0.98458693554,40
3,10:00,0.83739378395,0.00649468107468,0.0805895841575,0.661915932353,0.989190324666,40
3,11:00,0.840937671835,0.00689852217613,0.0830573426985,0.641934885281,0.988990118854,40
3,12:00,0.839290328597,0.00847189391297,0.0920428917026,0.550455143947,0.988261230477,40
3,13:00,0.83326346362,0.00849710042232,0.0921797180638,0.466286771846,0.976947199193,40
3,14:00,0.822698943336,0.00940606200805,0.0969848545292,0.428998574727,0.977528755547,40
3,15:00,0.801851622534,0.00990640460852,0.0995309228758,0.479124835316,0.956653187959,40
3,16:00,0.787648901451,0.0104295958682,0.102125392867,0.511992067528,0.966380133352,40
3,17:00,0.789610973359,0.00936029362025,0.0967486104306,0.557297033759,0.964313998171,40
3,18:00,0.786231409283,0.0105220432999,0.102577011557,0.529165284877,0.977040695721,40
3,19:00,0.774796489772,0.01238813597,0.111302003441,0.505285811262,0.978051243582,40
3,20:00,0.764735101719,0.0146753364769,0.121141803177,0.46083537113,0.978477180481,40
3,21:00,0.76874684291,0.0161265891442,0.126990508087,0.479077906337,0.972192804798,40
3,22:00,0.774774067061,0.0127161831761,0.11276605507,0.511009116292,0.971544716816,40
3,23:00,0.776418215754,0.0114341831046,0.106930739755,0.560164667126,0.976367537074,40
4,00:00,0.774781588395,0.0102266855707,0.101127076348,0.507201984551,0.965810183046,40
4,01:00,0.778095939917,0.00920718920988,0.0959540994949,0.510724608114,0.961986557669,40
4,02:00,0.772918637577,0.00808643621276,0.089924614054,0.551775795035,0.96137586452,40
4,03:00,0.778344050474,0.00809680984536,0.0899822751733,0.584634937462,0.972048721384,40
4,04:00,0.801152851558,0.00842127645911,0.0917675130921,0.621738602937,0.976989383952,40
4,05:00,0.823743279565,0.00670990154862,0.0819139887237,0.662748568404,0.982520820022,40
4,06:00,0.827616953523,0.00635367647869,0.0797099521935,0.683403365357,0.990854399763,40
4,07:00,0.836297177658,0.00434701434869,0.0659318917421,0.711885773841,0.989010038955,40
4,08:00,0.845199963992,0.0038148642175,0.0617645870827,0.74068178742,0.985053176915,40
4,09:00,0.857651478404,0.00306488353179,0.0553613902624,0.747921653311,0.983785111787,40
4,10:00,0.861507990927,0.00422134432574,0.0649718733433,0.713702250867,0.985249346801,40
4,11:00,0.860645256979,0.00457066009755,0.0676066571984,0.702086832291,0.982628676834,40
4,12:00,0.853575222065,0.00557392663148,0.0746587344621,0.660902711094,0.978291189131,40
4,13:00,0.855872108968,0.00456242909143,0.0675457555397,0.713805971356,0.970082416275,40
4,14:00,0.847403729787,0.0045973676663,0.0678038912327,0.713812003363,0.967119462931,40
4,15:00,0.829426116199,0.0045446350574,0.0674139084863,0.683040739407,0.956939384881,40
4,16:00,0.811070783467,0.00657158473159,0.0810653115185,0.599431775254,0.926379583388,40
4,17:00,0.802522316724,0.00779301073587,0.088278030879,0.580577197486,0.9280914321,40
4,18:00,0.797651173256,0.0101175237506,0.100585902345,0.479489052116,0.954802740693,40
4,19:00,0.80252097573,0.0128907931646,0.113537628849,0.452572477426,0.963778858611,40
4,20:00,0.794761541931,0.0142437414763,0.119347146913,0.440054370846,0.958704588963,40
4,21:00,0.799583410904,0.0137172180011,0.117120527667,0.45090962046,0.965331673063,40
4,22:00,0.796696684013,0.0121063747927,0.110028972515,0.524296473824,0.969042925038,40
4,23:00,0.799378984818,0.0104729680965,0.102337520473,0.571953001438,0.986152371528,40
5,00:00,0.802401468601,0.00935095124264,0.0967003166626,0.572158343365,0.978329778358,40
5,01:00,0.805794727001,0.00903647127722,0.0950603559704,0.577818961251,0.986404318827,40
5,02:00,0.80739675523,0.0095223337469,0.0975824458953,0.598974474922,0.980776580475,40
5,03:00,0.812687680624,0.0080896031415,0.0899422211283,0.641822347705,0.976662101552,40
5,04:00,0.819093115367,0.00788806803097,0.088814796239,0.67331866702,0.957275047478,40
5,05:00,0.830570527566,0.00690312791256,0.083085064317,0.651837784605,0.962255116571,40
5,06:00,0.83954938437,0.0061251046525,0.07826304781,0.658772214497,0.982145245992,40
5,07:00,0.852194778934,0.00519083525207,0.0720474513919,0.698247403186,0.951167215541,40
5,08:00,0.8537192019,0.00429794058028,0.0655586804342,0.693352229939,0.958250936231,40
5,09:00,0.859233228462,0.00441764230323,0.0664653466344,0.726724232253,0.969741859503,40
5,10:00,0.860166348286,0.00494129134663,0.0702943194478,0.721069489087,0.967983969631,40
5,11:00,0.861595429176,0.00504806574491,0.071049741343,0.725039697383,0.96350818001,40
5,12:00,0.845807058277,0.00579982152413,0.0761565592981,0.619213330706,0.951968526179,40
5,13:00,0.845657507784,0.00565402154811,0.0751932280735,0.665152744801,0.963080723374,40
5,14:00,0.845624186405,0.00518046206709,0.0719754268281,0.63797490154,0.94205240044,40
5,15:00,0.831591716516,0.00537399233886,0.073307518979,0.661872882216,0.977785153394,40
5,16:00,0.808030710482,0.00744903536035,0.0863077943198,0.565853969662,0.933663326098,40
5,17:00,0.791069039464,0.0091704799233,0.0957626227883,0.575839629474,0.950766194109,40
5,18:00,0.792540883247,0.0108226936929,0.104032176238,0.527639487482,0.959466780103,40
5,19:00,0.783752388945,0.0123566505951,0.111160472269,0.484949066651,0.945666930845,40
5,20:00,0.780300460997,0.0130403914567,0.114194533392,0.500133664621,0.948479191857,40
5,21:00,0.779603099225,0.0145781090813,0.120739840489,0.498801083347,0.953127726353,40
5,22:00,0.777924091789,0.0124509364926,0.111583764467,0.512397383036,0.947829989441,40
5,23:00,0.785287332125,0.00965309523517,0.0982501665911,0.574797811786,0.948613761647,40
6,00:00,0.781920018017,0.00827153252675,0.0909479660397,0.607105609035,0.949356226617,32
6,01:00,0.792434457342,0.00671813610516,0.0819642367448,0.63568198387,0.957230054749,32
6,02:00,0.781708710004,0.00675165054328,0.0821684278983,0.631490589897,0.952971074827,32
6,03:00,0.781076857392,0.00731846221465,0.0855480111671,0.6405229699,0.954275836518,32
6,04:00,0.795544474424,0.00612511058803,0.0782630857303,0.658532642452,0.940328907413,32
6,05:00,0.793408694716,0.00510047085729,0.0714175808698,0.666850675347,0.933419024597,32
6,06:00,0.797670920136,0.00482936389844,0.0694936248763,0.685639512202,0.932427878791,32
6,07:00,0.82506728754,0.00463746713163,0.0680989510318,0.688366159536,0.93254189042,32
6,08:00,0.841104618633,0.00402301560086,0.0634272465181,0.700636986251,0.93981158961,32
6,09:00,0.841626383666,0.00428989548541,0.0654972937258,0.678481991207,0.964087236805,32
6,10:00,0.832603192216,0.00471845800931,0.0686910329614,0.710650282087,0.943837050816,32
6,11:00,0.829226163799,0.00483935080573,0.0695654426115,0.715309105885,0.946153182081,32
6,12:00,0.819908702808,0.00413922355168,0.064336797804,0.712122735291,0.936902765875,32
6,13:00,0.809019113285,0.00435025142396,0.065956435804,0.683367580134,0.938150184098,32
6,14:00,0.794572314909,0.00471727765284,0.0686824406441,0.685132223119,0.920140795393,32
6,15:00,0.781077677805,0.0050719438111,0.0712175807726,0.663652586399,0.91385025325,32
6,16:00,0.760887280613,0.00772138198397,0.0878713945717,0.564255513129,0.897815059763,32
6,17:00,0.751164078387,0.00961113512082,0.0980363969188,0.577401471061,0.90361786826,32
6,18:00,0.721427109054,0.0118336858546,0.108782746126,0.48937498667,0.928182112003,32
6,19:00,0.720982883257,0.0154399430163,0.12425756724,0.438920220768,0.931023767189,32
6,20:00,0.720777597709,0.0174513013393,0.132103373686,0.408990123133,0.934569501202,32
6,21:00,0.727189599971,0.0167159348735,0.129290119009,0.442464915038,0.926062060521,32
6,22:00,0.732800002289,0.0135361188585,0.116344827382,0.502740301491,0.956419911861,32
6,23:00,0.735062632472,0.0102417387126,0.101201475842,0.541758990516,0.947047876838,32
7,00:00,0.740622655436,0.0092449962305,0.0961509034305,0.523424300802,0.952923210321,32
7,01:00,0.750454379062,0.00724725811339,0.0851308293945,0.536261519564,0.950407698035,32
7,02:00,0.74975837591,0.00722770153162,0.0850158898773,0.527508036918,0.952477921905,32
7,03:00,0.762633396373,0.00864506683538,0.0929788515491,0.546502827139,0.940593179899,32
7,04:00,0.773685016677,0.00761289845159,0.0872519252028,0.559942526027,0.939526310842,32
7,05:00,0.781568949173,0.00715530593554,0.0845890414625,0.575520008669,0.932930018983,32
7,06:00,0.789001057056,0.00678402352248,0.0823651839219,0.594328514642,0.942073977088,32
7,07:00,0.814627419996,0.00611782516444,0.0782165274379,0.671968986768,0.945372621562,32
7,08:00,0.829040852651,0.00568292811334,0.0753851982377,0.696880978131,0.945825967374,32
7,09:00,0.831934224519,0.00605722361832,0.0778281672553,0.69335205448,0.949759252209,32
7,10:00,0.833722980296,0.00657155039124,0.0810650997115,0.686267033087,0.935486468225,32
7,11:00,0.827838036602,0.00690038514327,0.0830685568869,0.660323486122,0.931250229063,32
7,12:00,0.820148920125,0.00675831907567,0.0822089963183,0.642805898008,0.938540232457,32
7,13:00,0.807003293873,0.00825192831502,0.0908401250275,0.584138269006,0.958237897342,32
7,14:00,0.777963346728,0.00929864619338,0.0964294881941,0.468561505606,0.962447575401,32
7,15:00,0.749691235899,0.0118862959744,0.109024290754,0.473423242539,0.970518905491,32
7,16:00,0.744585087624,0.0109285593319,0.104539750009,0.559946813241,0.96740733184,32
7,17:00,0.732354402511,0.0116948490043,0.108142725157,0.491054742026,0.973670109365,32
7,18:00,0.720526715558,0.0122348823873,0.11061140261,0.466115282551,0.884820936305,32
7,19:00,0.727150902357,0.0145988072939,0.120825524182,0.447359480799,0.894168354386,32
7,20:00,0.727826003653,0.0168704312475,0.129886224241,0.436436789679,0.92918047888,32
7,21:00,0.729397549156,0.0149744598982,0.122370175689,0.447016977628,0.932226471605,32
7,22:00,0.735807512539,0.0114816766951,0.10715258604,0.477842703444,0.933984644961,32
7,23:00,0.728945780839,0.00928215663987,0.0963439496796,0.511018009158,0.949128111784,32
